1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,1
120,0
121,1
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,0
162,0
163,0
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,0
173,1
174,1
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,1
